期号,开奖日期,第1位结果,第2位结果,第3位结果,跨度,和值,杀码公式,杀码,杀码正确,杀码情况,形态,形态预测,形态预测正确,形态情况,十位,个位,和,独胆,独胆正确,独胆情况,直选中奖注数,直选中奖奖金,组3中奖注数,组3中奖奖金,组六中奖注数,组六中奖金额,总销售额,开奖公告
24062,2024-3-12,7,8,4,4,19,13651,3,TRUE,,组六,组六,TRUE,,5,1,6,6,FALSE,,"12,925","1,040",0,346,"47,057",173,"45,923,328",https://pdf.sporttery.cn/28200/24062/24062.pdf
24061,2024-3-11,2,5,0,5,7,19536,9,TRUE,,组六,组六,TRUE,,3,6,9,9,FALSE,,"8,371","1,040",0,346,"29,712",173,"46,773,850",https://pdf.sporttery.cn/28200/24061/24061.pdf
24060,2024-3-10,3,5,7,4,15,34496,4,TRUE,,组六,组六,TRUE,,9,6,15,5,TRUE,,"29,744","1,040",0,346,"58,445",173,"43,393,064",https://pdf.sporttery.cn/28200/24060/24060.pdf
24059,2024-3-9,6,2,9,7,17,3476,4,TRUE,,组六,组六,TRUE,,7,6,13,3,FALSE,,"13,521","1,040",0,346,"31,311",173,"42,284,672",https://pdf.sporttery.cn/28200/24059/24059.pdf
24058,2024-3-8,0,6,5,6,11,41976,1,TRUE,,组六,组六,TRUE,,7,6,13,3,FALSE,,"8,918","1,040",0,346,"25,382",173,"45,253,476",https://pdf.sporttery.cn/28200/24058/24058.pdf
24057,2024-3-7,7,6,5,2,18,43241,3,TRUE,,组六,组六,TRUE,,4,1,5,5,TRUE,,"11,399","1,040",0,346,"48,224",173,"44,050,646",https://pdf.sporttery.cn/28200/24057/24057.pdf
24056,2024-3-6,7,8,8,1,23,9416,4,TRUE,,组三,组六,FALSE,,1,6,7,7,TRUE,,"6,911","1,040","12,036",346,0,173,"44,397,296",https://pdf.sporttery.cn/28200/24056/24056.pdf
24055,2024-3-5,1,7,3,6,11,12056,2,TRUE,,组六,组六,TRUE,,5,6,11,1,TRUE,,"22,084","1,040",0,346,"52,728",173,"43,035,282",https://pdf.sporttery.cn/28200/24055/24055.pdf
24054,2024-3-4,2,2,1,1,5,52591,2,FALSE,,组三,组六,FALSE,,9,1,10,0,FALSE,,"16,842","1,040","24,833",346,0,173,"44,546,756",https://pdf.sporttery.cn/28200/24054/24054.pdf
24053,2024-3-3,9,5,8,4,22,54626,4,TRUE,,组六,组六,TRUE,,2,6,8,8,TRUE,,"11,984","1,040",0,346,"44,782",173,"42,591,150",https://pdf.sporttery.cn/28200/24053/24053.pdf
24052,2024-3-2,9,9,5,4,23,36971,6,TRUE,,组三,组六,FALSE,,7,1,8,8,FALSE,,"10,727","1,040","25,648",346,0,173,"43,477,524",https://pdf.sporttery.cn/28200/24052/24052.pdf
24051,2024-3-1,6,7,4,3,17,27126,7,FALSE,,组六,组六,TRUE,,2,6,8,8,FALSE,,"13,197","1,040",0,346,"45,078",173,"45,519,058",https://pdf.sporttery.cn/28200/24051/24051.pdf
24050,2024-2-29,4,9,5,5,18,34606,4,FALSE,,组六,组六,TRUE,,0,6,6,6,FALSE,,"15,499","1,040",0,346,"44,937",173,"44,279,736",https://pdf.sporttery.cn/28200/24050/24050.pdf
24049,2024-2-28,6,3,1,5,10,21681,1,FALSE,,组六,组六,TRUE,,8,1,9,9,FALSE,,"18,127","1,040",0,346,"38,022",173,"43,276,162",https://pdf.sporttery.cn/28200/24049/24049.pdf
24048,2024-2-27,3,9,6,6,18,41701,1,TRUE,,组六,组六,TRUE,,0,1,1,1,FALSE,,"20,674","1,040",0,346,"62,450",173,"41,810,592",https://pdf.sporttery.cn/28200/24048/24048.pdf
24047,2024-2-26,7,6,0,7,13,38511,8,TRUE,,组六,组六,TRUE,,1,1,2,2,FALSE,,"12,255","1,040",0,346,"20,443",173,"42,766,354",https://pdf.sporttery.cn/28200/24047/24047.pdf
24046,2024-2-25,7,0,2,7,9,41536,1,TRUE,,组六,组六,TRUE,,3,6,9,9,FALSE,,"5,590","1,040",0,346,"23,327",173,"41,440,104",https://pdf.sporttery.cn/28200/24046/24046.pdf
24045,2024-2-24,7,5,7,2,19,48576,8,TRUE,,组三,组六,FALSE,,7,6,13,3,FALSE,,"21,194","1,040","21,248",346,0,173,"39,981,306",https://pdf.sporttery.cn/28200/24045/24045.pdf
24044,2024-2-23,8,8,5,3,21,16181,6,TRUE,,组三,组六,FALSE,,8,1,9,9,FALSE,,"14,865","1,040","34,078",346,0,173,"45,874,116",https://pdf.sporttery.cn/28200/24044/24044.pdf
24043,2024-2-22,2,9,6,7,17,18711,8,TRUE,,组六,组六,TRUE,,1,1,2,2,TRUE,,"17,272","1,040",0,346,"31,415",173,"45,075,004",https://pdf.sporttery.cn/28200/24043/24043.pdf
24042,2024-2-21,3,4,2,2,9,49676,9,TRUE,,组六,组六,TRUE,,7,6,13,3,TRUE,,"8,144","1,040",0,346,"31,309",173,"43,438,050",https://pdf.sporttery.cn/28200/24042/24042.pdf
24041,2024-2-20,9,0,5,9,14,28171,8,TRUE,,组六,组六,TRUE,,7,1,8,8,FALSE,,"13,095","1,040",0,346,"29,555",173,"41,550,394",https://pdf.sporttery.cn/28200/24041/24041.pdf
24040,2024-2-19,5,1,4,4,10,27841,7,TRUE,,组六,组六,TRUE,,4,1,5,5,TRUE,,"7,539","1,040",0,346,"24,552",173,"40,713,364",https://pdf.sporttery.cn/28200/24040/24040.pdf
24039,2024-2-18,5,0,8,8,13,28996,8,FALSE,,组六,组六,TRUE,,9,6,15,5,TRUE,,"8,790","1,040",0,346,"28,489",173,"41,038,410",https://pdf.sporttery.cn/28200/24039/24039.pdf
24038,2024-2-7,5,2,9,7,16,49951,9,FALSE,,组六,组六,TRUE,,5,1,6,6,FALSE,,"10,688","1,040",0,346,"28,139",173,"50,932,740",https://pdf.sporttery.cn/28200/24038/24038.pdf
24037,2024-2-6,9,1,0,9,10,29986,9,FALSE,,组六,组六,TRUE,,8,6,14,4,FALSE,,"16,392","1,040",0,346,"47,488",173,"48,688,414",https://pdf.sporttery.cn/28200/24037/24037.pdf
24036,2024-2-5,5,4,7,3,16,16731,6,TRUE,,组六,组六,TRUE,,3,1,4,4,TRUE,,"10,773","1,040",0,346,"40,469",173,"48,018,150",https://pdf.sporttery.cn/28200/24036/24036.pdf
24035,2024-2-4,3,0,6,6,9,836,3,FALSE,,组六,组六,TRUE,,3,6,9,9,FALSE,,"13,797","1,040",0,346,"29,920",173,"47,601,062",https://pdf.sporttery.cn/28200/24035/24035.pdf
24034,2024-2-3,0,1,7,7,8,40546,0,FALSE,,组六,组六,TRUE,,4,6,10,0,TRUE,,"11,674","1,040",0,346,"26,766",173,"48,454,312",https://pdf.sporttery.cn/28200/24034/24034.pdf
24033,2024-2-2,7,3,9,6,19,44176,4,TRUE,,组六,组六,TRUE,,7,6,13,3,TRUE,,"27,104","1,040",0,346,"45,637",173,"50,637,472",https://pdf.sporttery.cn/28200/24033/24033.pdf
