期号,开奖日期,开奖号码,间隔
2022148,2022-06-07(二),775,1543
2022147,2022-06-06(一),869,445
2022146,2022-06-05(日),848,987
2022145,2022-06-04(六),150,38
2022144,2022-06-03(五),60,975
2022143,2022-06-02(四),231,379
2022142,2022-06-01(三),883,826
2022141,2022-05-31(二),505,59
2022140,2022-05-30(一),323,447
2022139,2022-05-29(日),121,243
2022138,2022-05-28(六),943,960
2022137,2022-05-27(五),441,1084
2022136,2022-05-26(四),562,867
2022135,2022-05-25(三),167,231
2022134,2022-05-24(二),953,1273
2022133,2022-05-23(一),920,281
2022132,2022-05-22(日),572,1921
2022131,2022-05-21(六),865,22
2022130,2022-05-20(五),462,116
2022129,2022-05-19(四),395,340
2022128,2022-05-18(三),156,1150
2022127,2022-05-17(二),256,1188
2022126,2022-05-16(一),554,1981
2022125,2022-05-15(日),90,2367
2022124,2022-05-14(六),901,767
2022123,2022-05-13(五),590,2920
2022122,2022-05-12(四),592,2181
2022121,2022-05-11(三),765,256
2022120,2022-05-10(二),509,1732
2022119,2022-05-09(一),320,625
2022118,2022-05-08(日),260,713
2022117,2022-05-07(六),281,549
2022116,2022-05-06(五),812,54
2022115,2022-05-05(四),928,1486
2022114,2022-05-04(三),623,760
2022113,2022-05-03(二),299,303
2022112,2022-05-02(一),245,408
2022111,2022-05-01(日),334,537
2022110,2022-04-30(六),40,1019
2022109,2022-04-29(五),865,1002
2022108,2022-04-28(四),512,356
2022107,2022-04-27(三),150,429
2022106,2022-04-26(二),507,1904
2022105,2022-04-25(一),440,686
2022104,2022-04-24(日),690,1868
2022103,2022-04-23(六),958,143
2022102,2022-04-22(五),851,2144
2022101,2022-04-21(四),731,1137
2022100,2022-04-20(三),666,668
2022099,2022-04-19(二),393,1468
2022098,2022-04-18(一),465,15
2022097,2022-04-17(日),304,586
2022096,2022-04-16(六),810,598
2022095,2022-04-15(五),519,1384
2022094,2022-04-14(四),198,298
2022093,2022-04-13(三),633,
2022092,2022-04-12(二),752,248
